iter	Passed	Remaining
571	3214	2404
572	3234	2410
573	3241	2405
574	3246	2399
575	3252	2394
576	3257	2388
577	3263	2382
578	3268	2376
579	3273	2370
580	3279	2364
581	3283	2358
582	3288	2352
583	3293	2346
584	3298	2340
585	3303	2334
586	3308	2327
587	3313	2321
588	3318	2315
589	3322	2309
590	3327	2303
591	3332	2297
592	3337	2290
593	3342	2284
594	3347	2278
595	3353	2273
596	3358	2267
597	3364	2261
598	3370	2256
599	3375	2250
600	3382	2245
601	3389	2240
602	3395	2235
603	3402	2230
604	3408	2225
605	3416	2221
606	3422	2216
607	3428	2210
608	3433	2204
609	3438	2198
610	3443	2192
611	3448	2186
612	3453	2180
613	3458	2174
614	3463	2168
615	3468	2162
616	3473	2156
617	3478	2150
618	3483	2144
619	3488	2138
620	3494	2132
621	3501	2127
622	3506	2122
623	3513	2116
624	3518	2111
625	3523	2105
626	3528	2099
627	3533	2093
628	3539	2087
629	3544	2081
630	3549	2075
631	3554	2069
632	3559	2063
633	3564	2057
634	3569	2051
635	3574	2045
636	3579	2040
637	3584	2033
638	3589	2027
639	3594	2021
640	3599	2015
641	3604	2009
642	3609	2004
643	3615	1998
644	3621	1992
645	3625	1986
646	3630	1980
647	3639	1977
648	3644	1970
649	3651	1965
650	3656	1960
651	3662	1954
652	3667	1948
653	3672	1942
654	3677	1937
655	3682	1931
656	3689	1926
657	3696	1921
658	3702	1916
659	3709	1911
660	3715	1905
661	3722	1900
662	3728	1895
663	3734	1889
664	3740	1884
665	3746	1878
666	3752	1873
667	3757	1867
668	3761	1861
669	3767	1855
670	3772	1849
671	3777	1843
672	3782	1838
673	3787	1832
674	3792	1826
675	3798	1820
676	3804	1815
677	3811	1810
678	3818	1805
679	3825	1800
680	3831	1794
681	3837	1789
682	3842	1783
683	3850	1778
684	3856	1773
685	3862	1768
686	3868	1762
687	3874	1757
688	3881	1751
689	3887	1746
690	3892	1740
691	3898	1735
692	3904	1729
693	3910	1724
694	3917	1719
695	3922	1713
696	3929	1708
697	3935	1702
698	3940	1696
699	3947	1691
700	3953	1686
701	3958	1680
702	3965	1675
703	3970	1669
704	3977	1664
705	3983	1658
706	3988	1652
707	3994	1647
708	4000	1641
709	4005	1635
710	4012	1630
711	4018	1625
712	4024	1620
713	4031	1614
714	4037	1609
715	4043	1603
716	4049	1598
717	4056	1593
718	4063	1588
719	4068	1582
720	4077	1577
721	4083	1572
722	4090	1567
723	4096	1561
724	4101	1555
725	4108	1550
726	4113	1544
727	4119	1539
728	4125	1533
729	4130	1527
730	4137	1522
731	4143	1516
732	4148	1511
733	4156	1506
734	4162	1500
735	4169	1495
736	4175	1490
737	4180	1484
738	4186	1478
739	4192	1473
740	4197	1467
741	4204	1461
742	4209	1456
743	4215	1450
744	4221	1445
745	4226	1439
746	4232	1433
747	4239	1428
748	4244	1422
749	4251	1417
750	4256	1411
751	4263	1405
752	4269	1400
753	4274	1394
754	4280	1389
755	4287	1383
756	4292	1377
757	4298	1372
758	4304	1366
759	4310	1361
760	4317	1355
761	4322	1349
762	4328	1344
763	4334	1338
764	4339	1332
765	4345	1327
766	4351	1321
767	4356	1315
768	4362	1310
769	4368	1304
770	4373	1299
771	4381	1293
772	4385	1287
773	4391	1282
774	4398	1276
775	4402	1270
776	4408	1265
777	4415	1259
778	4420	1254
779	4426	1248
780	4432	1243
781	4439	1237
782	4445	1232
